"id","titre_fr","titre_ar","latitude","longitude","region_id","geo_json_id"
"1","Rabat","الرباط","34.0083637","-6.8538748","4","25"
"4","Skhirate-Témara","الصخيرات تمارة","33.7390041","-6.8779926","4","27"
"5","Khémisset","الخميسات","33.8259796","-6.0710879","4","24"
"14","Mohammédia","المحمدية","33.6835563","-7.3856494","6","22"
"15","Agadir Ida-Outanan","أكادير إدا وتنان","30.6427604","-9.456155","9","5"
"16","Inezgane-Aït Melloul","إنزكان أيت ملول","30.3509098","-9.389511","9","7"
"17","Chtouka-Aït Baha","اشتوكة ايت باها","30.1072422","-9.2785583","9","6"
"18","Taroudant","تارودانت","30.4727126","-8.8748765","9","9"
"19","Tiznit","تيزنيت","29.6925901","-9.7253139","9","10"
"20","Ouarzazate","ورزازات","30.9335436","-6.937016","8","8"
"21","Zagora","زاكورة","30.3428747","-5.8377713","8","11"
"22","Al Hoceïma","الحسيمة","35.2445589","-3.9317468","1","53"
"23","Taza","تازة","34.2199251","-3.9893675","3","63"
"24","Taounate","تاونات","34.536917","-4.6398693","3","54"
"25","Béni-Mellal","بني ملال","32.3325021","-6.3627066","5","31"
"26","Azilal","أزيلال","31.9626582","-6.5681328","5","30"
"29","Moulay Yaâcoub","مولاي يعقوب","34.0874479","-5.1784019","3","52"
"30","Séfrou","صفرو","33.8305244","-4.8353154","3","51"
"31","Boulemane","بولمان","33.3674836","-4.7296471","3","49"
"32","Guelmim","كلميم","28.9883659","-10.0527498","10","2"
"33","Tata","طاطا","29.7584865","-7.9954722","9","4"
"34","Assa-Zag","أسا الزاك","28.16514","-9.3673084","10","1"
"35","Es-Semara","السمارة","26.741856","-11.6783671","11","72"
"36","Tan-Tan","طانطان","28.4306544","-11.0985517","10","3"
"37","Kénitra","القنيطرة","34.2555044","-6.5969761","4","36"
"38","Sidi Kacem","سيدي قاسم","34.2260172","-5.7129164","4","37"
"39","Laâyoune","العيون","27.1500384","-13.1990758","11","35"
"40","Boujdour","بوجدور","26.1252493","-14.4847347","11","34"
"44","Chichaoua","شيشاوة","31.5478262","-8.7583828","7","16"
"45","Al Haouz","الحوز","31.2956729","-7.87216","7","15"
"46","El Kelâa des Sraghna","قلعة السراغنة","32.0550961","-7.4002872","7","17"
"47","Essaouira","الصويرة","31.5084926","-9.7595041","7","18"
"50","El Hajeb","الحاجب","33.685735","-5.3677844","3","45"
"51","Ifrane","ايفران","33.5271746","-5.1171821","3","47"
"52","Khénifra","خنيفرة","32.9333501","-5.6684941","5","48"
"53","Errachidia","الرشيدية","31.9229606","-4.4336669","8","46"
"54","Oued Eddahab","وادي الذهب","22.7337892","-14.2861116","12","33"
"55","Aousserd","أوسرد","22.5521538","-14.3297353","12","32"
"56","Oujda-Angad","وجدة أنكاد","34.6233041","-2.1057549","2","42"
"57","Jerada","جرادة","34.3088337","-2.1626282","2","40"
"58","Berkane","بركان","34.9177281","-2.3123031","2","38"
"59","Taourirt","تاوريرت","34.3983716","-2.8935028","2","43"
"60","Figuig","فجيج","32.1092613","-1.229806","2","39"
"61","Nador","الناضور","35.1739466","-2.9342366","2","41"
"62","Safi","أسفي","32.2931267","-9.3925881","7","29"
"63","El Jadida","الجديدة","33.2347178","-8.5027492","6","28"
"64","Settat","سطات","33.002165","-7.6196289","6","14"
"65","Khouribga","خريبكة","32.8867434","-6.9114722","5","13"
"66","Benslimane","بنسليمان","33.6195975","-7.1256978","6","12"
"67","Tanger-Assilah","طنجة أصيلة","35.7594651","-5.8339543","1","58"
"69","Tétouan","تطوان","35.57168","-5.3597051","1","75"
"70","Larache","العرائش","35.1721577","-6.1445644","1","57"
"71","Chefchaouen","شفشاون","35.168796","-5.2683641","1","55"
"72","Salé","سلا","34.0515706","-6.8125429","4","26"
"73","Casablanca-Anfa","عمالة مقاطعة الدار البيضاء أنفا","33.5731104","-7.5898434","6","20"
"74","Al Fida-Mers Sultan","عمالة مقاطعات الفداء مرس السلطان","33.5657532","-7.6032892","6","20"
"75","Aïn Sebaâ-Hay Mohammadi","عمالة مقاطعات عين السبع الحي المحمدي","33.5903413","-7.5653502","6","20"
"76","Aïn Chock","عمالة مقاطعة عين الشق","33.5396986","-7.594067","6","20"
"77","Hay Hassani","عمالة مقاطعة الحي الحسني","33.5708827","-7.6778725","6","20"
"78","Sidi Bernoussi","عمالة مقاطعات سيدي البرنوصي","33.6090338","-7.4868283","6","20"
"79","Ben M'sick","عمالة مقاطعات ابن مسيك","33.5559525","-7.5816073","6","20"
"80","Moulay Rachid","عمالة مقاطعات مولاي رشيد","33.561548","-7.5507139","6","20"
"81","Nouaceur","النواصر","33.372091","-7.5671668","6","23"
"82","Médiouna","مديونة","33.4540939","-7.516602","6","21"
"83","Fès","فاس","34.0181246","-5.0078451","3","50"
"84","Marrakech","مراكش","31.6225224","-7.9898258","7","19"
"85","Meknès","مكناس","33.8674514","-5.5382116","3","44"
"86","Fahs-Anjra","فحص أنجرة","35.7413841","-5.6037465","1","56"
"87","M'diq-Fnideq","المضيق الفنيدق","35.73012","-5.3730176","1","70"
"88","Casablanca","الدار البيضاء","33.5724032","-7.669394","6","20"
"90","Sidi Ifni","سيدي إفني","29.3701124","-10.1759285","10","74"
"91","Tinghir","تنغير","31.5204633","-5.5302337","8","61"
"92","Guercif","جرسيف","34.2312385","-3.3406927","2","68"
"93","Fquih Ben Salah","الفقيه بنصالح","32.5009216","-6.6905458","5","71"
"94","Sidi Slimane","سيدي سليمان","34.2622961","-5.9239749","4","66"
"95","Tarfaya","طرفاية","27.9375382","-12.9262851","11","63"
"96","Rehamna","الرحامنة","32.286308","-7.9592863","7","64"
"97","Midelt","ميدلت","32.6799423","-4.7329268","8","73"
"98","Driouch","الدريوش","34.9792528","-3.398304","2","69"
"99","Youssoufia","اليوسفية","32.2438426","-8.5226706","7","65"
"100","Sidi Bennour","سيدي بنور","32.6534946","-8.4262757","6","59"
"101","Berrechid","برشيد","33.268687","-7.5843171","6","60"
"102","Ouazzane","وزان","34.7971926","-5.5789576","1","62"
